co_ref,total_cc_calls,last_cc_call,cutoff_date,days_since_last_cc_call,cc_calls_last_7,cc_calls_last_30,total_complaints,customer_issues,financial_issues,pricing_mentions,avg_cc_sentiment,repeat_call_ratio,high_call_volume
CF8964,2,2025-03-10,2025-07-20,132,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
CF8964,2,2025-03-10,2026-07-20,497,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
CG2311,2,2024-10-12,2025-01-20,100,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
CG2311,2,2024-10-12,2026-01-20,465,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
CG5574,3,2024-04-12,2025-10-20,556,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0
CG5574,3,2024-04-12,2026-10-20,921,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0
CG5574,3,2024-04-12,2024-10-20,191,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0
CH0790,2,2025-05-03,2025-07-22,80,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
CH0790,2,2025-05-03,2026-07-22,445,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
CH3344,2,2024-03-12,2025-04-25,409,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
CH3344,2,2024-03-12,2024-04-25,44,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
CH5659,4,2025-08-07,2025-11-25,110,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,1
CH6417,1,2025-03-11,2025-04-25,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CH8668,1,2025-09-12,2026-05-19,249,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
CH9143,2,2025-06-10,2025-09-24,106,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
CI5849,1,2024-04-12,2025-02-26,320,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
CJ1558,1,2024-07-11,2025-05-26,319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CJ5531,7,2025-10-12,2025-11-17,36,0.0,0.0,0.0,0.0,0.0,0.0,45.714285714285715,0.0,1
CJ5531,7,2025-10-12,2026-11-17,401,0.0,0.0,0.0,0.0,0.0,0.0,45.714285714285715,0.0,1
CJ5531,7,2025-10-12,2024-11-17,-329,0.0,0.0,0.0,0.0,0.0,0.0,45.714285714285715,0.0,1
CJ6652,1,2025-11-04,2026-08-22,291,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
CJ6666,1,2025-04-03,2025-06-25,83,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
CJ7921,1,2025-10-06,2025-11-26,51,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
CJ8036,2,2025-03-04,2025-07-25,143,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0
CK0947,4,2025-03-03,2025-03-20,17,0.0,2.0,0.0,0.0,0.0,0.0,80.0,0.0,1
